Количество дней со среднесуточной температурой ниже 0°С_в следующем месяце,Сумма максимальных температур,Количество дней со среднесуточной температурой выше 0°С_в следующем месяце,Среднее изменение суточного количества осадков_6 месяцев назад,Количество дней со среднесуточной температурой ниже 0°С_1 месяц назад,Сумма квадратов положительных температур_2 месяца назад,mean_temp_amplitude_3 месяца назад,Сумма максимальных температур_в следующем месяце,Минимальная температура_1 месяц назад,Сумма квадратов отрицательных температур_5 месяца назад,Средняя температура,Сумма минимальных температур,mean_temp_amplitude_2 месяца назад,mean_temp_amplitude,Сумма квадратов среднесуточных температур_5 месяца назад,Сумма максимальных температур_1 месяц назад,Сумма квадратов отрицательных температур_1 месяц назад,Сумма отрицательных температур_в следующем месяце,Сумма квадратов положительных температур_в следующем месяце,Сумма квадратов положительных температур_1 месяц назад,Сумма отрицательных температур_1 месяц назад,Максимальная температура_1 месяц назад,Количество дней с суточными осадками более 10 мм_2 месяца назад,Сумма квадратов среднесуточных температур_1 месяц назад,mean_temp_amplitude_5 месяца назад,Сумма квадратов отрицательных температур_в следующем месяце,Максимальная температура,Сумма отрицательных температур,Минимальная температура_в следующем месяце,Сумма минимальных температур_1 месяц назад,Сумма квадратов отрицательных температур,Сумма квадратов среднесуточных температур,Среднее изменение суточного количества осадков_4 месяца назад,Сумма положительных температур,Сумма положительных температур_2 месяца назад,Максимальное количество осадков_2 месяца назад,Среднее изменение суточного количества осадков_2 месяца назад,Количество дней с суточными осадками более 1 мм_6 месяцев назад,Среднее изменение суточного количества осадков_в следующем месяце,ij_1,Среднее изменение суточного количества осадков_3 месяца назад,Количество дней со среднесуточной температурой выше 0°С_2 месяца назад,Количество дней с среднесуточной отрицательной температурой и наличием осадков_в следующем месяце,Средняя температура_в следующем месяце,Сумма положительных температур_в следующем месяце,mean_temp_amplitude_1 месяц назад,Среднее изменение суточного количества осадков_7 месяцев назад,Сумма осадков_7 месяцев назад,Сумма минимальных температур_в следующем месяце,Минимальная температура,Сумма положительных температур_1 месяц назад,Разница между максимальной и минимальной температурой _в следующем месяце,Количество дней с среднесуточной отрицательной температурой и наличием осадков_3 месяца назад,Разница между максимальной и минимальной температурой _5 месяца назад,Количество дней с суточными осадками более 10 мм_7 месяцев назад,Максимальная температура_в следующем месяце,mean_temp_amplitude_6 месяцев назад,Сумма квадратов суточного количества осадков_4 месяца назад,Сумма квадратов среднесуточных температур_6 месяцев назад,Количество дней со среднесуточной температурой ниже 0°С_4 месяца назад,Разница между максимальной и минимальной температурой _6 месяцев назад,Средняя температура_1 месяц назад
31.0,-394.3,3.0,3.062684205862501e-17,26.0,461.64,5.75,-499.0,-9.61,0.0,-16.519354838709678,-618.9,5.287096774193548,7.245161290322581,4323.049999999999,-115.6,3033.62,-624.2999999999998,1.44,14.16,-206.80000000000004,-3.853333333333333,0.0,3047.78,7.680645161290323,16936.810000000005,-12.71935483870968,-512.0999999999999,-24.43548387096774,-288.3,10485.210000000005,10485.21,0.0933333333333333,0.0,83.8,8.7,-0.0399999999999999,11.0,0.1199999999999999,0.0,0.0034482758620689,24.0,22.0,-20.1,1.2,5.756666666666667,0.19,67.3,-757.5,-19.96451612903226,10.4,42.4,0.0,26.700000000000003,1.0,-16.096774193548388,10.096666666666666,112.66,4906.13,0.0,24.200000000000003,-6.546666666666667
29.0,-499.0,1.0,-0.1600000000000001,31.0,14.16,5.287096774193548,-252.3,-19.96451612903226,0.0,-20.1,-757.5,5.756666666666667,8.338709677419354,3100.48,-394.3,10485.210000000005,-353.4,0.0,0.0,-512.0999999999999,-12.71935483870968,0.0,10485.21,8.125806451612904,5870.24,-16.096774193548388,-624.2999999999998,-16.29655172413793,-618.9,16936.810000000005,16938.249999999996,0.0034482758620689,1.2,10.4,8.8,-0.0724137931034482,10.0,-0.1142857142857142,0.0,-0.0399999999999999,15.0,22.0,-12.186206896551724,0.0,7.245161290322581,3.062684205862501e-17,56.5,-472.6,-24.43548387096774,0.0,38.6,9.0,20.5,2.0,-8.7,7.680645161290323,596.0699999999998,4323.049999999999,4.0,26.700000000000003,-16.519354838709678
29.0,-252.3,12.0,0.0933333333333333,31.0,0.0,5.756666666666667,-125.2,-24.43548387096774,0.0,-12.186206896551724,-472.6,7.245161290322581,7.596551724137932,1202.32,-499.0,16936.810000000005,-232.50000000000003,6.35,1.44,-624.2999999999998,-16.096774193548388,0.0,16938.249999999996,5.75,3625.370000000001,-8.7,-353.4,-10.958064516129031,-757.5,5870.24,5870.24,-0.0399999999999999,0.0,0.0,5.2,0.0166666666666666,9.0,0.3233333333333333,0.0,-0.0724137931034482,0.0,15.0,-7.361290322580645,4.300000000000001,8.338709677419354,-0.1600000000000001,56.6,-339.7,-16.29655172413793,1.2,40.0,15.0,14.9,1.0,-4.038709677419355,8.125806451612904,284.19000000000005,3100.48,17.0,20.5,-20.1
30.0,-125.2,1.0,0.0034482758620689,29.0,1.44,7.245161290322581,-291.0,-16.29655172413793,293.61,-7.361290322580645,-339.7,8.338709677419354,6.919354838709677,755.2500000000001,-252.3,5870.24,-444.00000000000006,0.0,0.0,-353.4,-8.7,0.0,5870.24,5.287096774193548,7220.180000000001,-4.038709677419355,-232.50000000000003,-20.01333333333333,-472.6,3625.370000000001,3631.72,-0.0724137931034482,4.300000000000001,1.2,3.8,0.1199999999999999,17.0,-0.1379310344827586,0.0,0.0166666666666666,3.0,6.0,-14.8,0.0,7.596551724137932,0.0933333333333333,32.6,-600.4,-10.958064516129031,0.0,33.9,19.0,29.6,0.0,-9.7,5.75,314.43,1202.32,26.0,14.9,-12.186206896551724
15.0,-291.0,31.0,-0.0399999999999999,29.0,0.0,8.338709677419354,191.2,-10.958064516129031,3033.62,-14.8,-600.4,7.596551724137932,10.313333333333333,3047.78,-125.2,3625.370000000001,-2.1,401.5399999999999,6.35,-232.50000000000003,-4.038709677419355,0.0,3631.72,5.756666666666667,1.55,-9.7,-444.00000000000006,0.1193548387096774,-339.7,7220.180000000001,7220.179999999999,0.0166666666666666,0.0,0.0,3.9,-0.1142857142857142,14.0,-3.700743415417189e-18,0.0,0.1199999999999999,1.0,1.0,2.667741935483871,84.79999999999998,6.919354838709677,0.0034482758620689,89.9,3.7,-20.01333333333333,4.300000000000001,18.1,22.0,29.1,2.0,6.16774193548387,5.287096774193548,60.39,755.2500000000001,31.0,29.6,-7.361290322580645
7.0,191.2,30.0,-0.0724137931034482,30.0,6.35,7.596551724137932,321.9,-20.01333333333333,10485.210000000005,2.667741935483871,3.7,6.919354838709677,6.048387096774194,10485.21,-291.0,7220.180000000001,-1.0,2325.0900000000006,0.0,-444.00000000000006,-9.7,0.0,7220.179999999999,7.245161290322581,0.6800000000000002,6.16774193548387,-2.1,3.08,-600.4,1.55,403.09,0.1199999999999999,84.79999999999998,4.300000000000001,9.7,0.3233333333333333,11.0,0.0655172413793103,0.0,-0.1142857142857142,12.0,2.0,6.569999999999999,198.1,10.313333333333333,-0.0399999999999999,59.3,92.4,0.1193548387096774,0.0,33.0,22.0,30.0,0.0,10.73,5.756666666666667,53.14000000000001,3047.78,31.0,29.1,-14.8
0.0,321.9,31.0,0.0166666666666666,15.0,0.0,6.919354838709677,531.4,0.1193548387096774,16936.810000000005,6.569999999999999,92.4,10.313333333333333,7.65,16938.249999999996,191.2,1.55,0.0,5071.83,401.5399999999999,-2.1,6.16774193548387,0.0,403.09,8.338709677419354,0.0,10.73,-1.0,7.264516129032257,3.7,0.6800000000000002,2325.7700000000004,-0.1142857142857142,198.1,0.0,4.0,-0.1379310344827586,9.0,-0.1066666666666667,0.0,0.3233333333333333,1.0,0.0,11.680645161290323,362.1,6.048387096774194,-0.0724137931034482,56.5,225.2,3.08,84.79999999999998,27.8,15.0,42.4,0.0,17.141935483870967,7.245161290322581,50.74,10485.21,29.0,30.0,2.667741935483871
1.0,531.4,31.0,0.1199999999999999,7.0,401.5399999999999,10.313333333333333,421.2,3.08,5870.24,11.680645161290323,225.2,6.048387096774194,9.87741935483871,5870.24,321.9,0.6800000000000002,0.0,3476.4900000000007,2325.0900000000006,-1.0,10.73,0.0,2325.7700000000004,7.596551724137932,0.0,17.141935483870967,0.0,7.377419354838709,92.4,0.0,5071.829999999999,0.3233333333333333,362.1,84.79999999999998,7.4,-3.700743415417189e-18,7.0,0.2133333333333334,0.0,-0.1379310344827586,31.0,0.0,9.880645161290325,306.29999999999995,7.65,0.0166666666666666,24.3,228.7,7.264516129032257,198.1,25.2,6.0,38.6,0.0,13.587096774193547,8.338709677419354,161.24,16938.249999999996,29.0,42.4,6.569999999999999
2.0,421.2,30.0,-0.1142857142857142,0.0,2325.0900000000006,6.048387096774194,323.2,7.264516129032257,3625.370000000001,9.880645161290325,228.7,7.65,6.209677419354839,3631.72,531.4,0.0,-1.2,2109.3700000000003,5071.83,0.0,17.141935483870967,1.0,5071.829999999999,6.919354838709677,1.44,13.587096774193547,0.0,4.7733333333333325,225.2,0.0,3476.49,-0.1379310344827586,306.29999999999995,198.1,11.1,0.0655172413793103,8.0,0.0551724137931036,0.0,-3.700743415417189e-18,30.0,0.0,7.463333333333334,225.1,9.87741935483871,0.1199999999999999,25.2,143.2,7.377419354838709,362.1,27.4,1.0,40.0,0.0,10.773333333333332,7.596551724137932,22.16,5870.24,30.0,38.6,11.680645161290323
31.0,323.2,5.0,0.3233333333333333,1.0,5071.83,7.65,-181.8,7.377419354838709,7220.180000000001,7.463333333333334,143.2,9.87741935483871,6.0,7220.179999999999,421.2,0.0,-277.99999999999994,2.3400000000000003,3476.4900000000007,0.0,13.587096774193547,0.0,3476.49,10.313333333333333,3331.14,10.773333333333332,-1.2,-11.9,228.7,1.44,2110.8100000000004,-3.700743415417189e-18,225.1,362.1,8.7,-0.1066666666666667,7.0,-0.0299999999999999,0.0,0.0655172413793103,31.0,18.0,-8.883870967741935,2.6,6.209677419354839,-0.1142857142857142,25.6,-368.9,4.7733333333333325,306.29999999999995,26.4,2.0,33.9,0.0,-5.864516129032259,6.919354838709677,85.81,3631.72,15.0,40.0,9.880645161290325
30.0,-181.8,1.0,-0.1379310344827586,2.0,3476.4900000000007,9.87741935483871,-374.3,4.7733333333333325,1.55,-8.883870967741935,-368.9,6.209677419354839,6.035483870967742,403.09,323.2,1.44,-490.2999999999999,0.0,2109.3700000000003,-1.2,10.773333333333332,1.0,2110.8100000000004,6.048387096774194,10853.39,-5.864516129032259,-277.99999999999994,-20.44,143.2,3331.14,3333.48,0.0655172413793103,2.6,306.29999999999995,11.5,0.2133333333333334,3.0,-5.74253288599219e-18,0.0,-0.1066666666666667,31.0,16.0,-16.343333333333334,0.0,6.0,0.3233333333333333,29.8,-613.2,-11.9,225.1,39.6,0.0,18.1,0.0,-12.476666666666668,10.313333333333333,289.07,7220.179999999999,7.0,33.9,7.463333333333334
30.0,-374.3,9.0,-3.700743415417189e-18,31.0,2109.3700000000003,6.209677419354839,-178.0,-11.9,0.6800000000000002,-16.343333333333334,-613.2,6.0,7.963333333333334,2325.7700000000004,-181.8,3331.14,-285.1,1.7600000000000002,2.3400000000000003,-277.99999999999994,-5.864516129032259,1.0,3333.48,7.65,5007.150000000001,-12.476666666666668,-490.2999999999999,-13.212903225806452,-368.9,10853.39,10853.39,-0.1066666666666667,0.0,225.1,18.0,0.0551724137931036,7.0,0.0099999999999999,0.0,0.2133333333333334,30.0,24.0,-9.13225806451613,2.0,6.035483870967742,-0.1379310344827586,8.8,-409.6,-20.44,2.6,35.5,0.0,33.0,0.0,-5.741935483870968,6.048387096774194,107.73999999999998,403.09,0.0,18.1,-8.883870967741935
31.0,-178.0,1.0,0.0655172413793103,30.0,2.3400000000000003,6.0,-262.7,-20.44,0.0,-9.13225806451613,-409.6,6.035483870967742,7.470967741935484,5071.829999999999,-374.3,10853.39,-379.8,0.0,0.0,-490.2999999999999,-12.476666666666668,0.0,10853.39,9.87741935483871,6394.280000000002,-5.741935483870968,-285.1,-16.47741935483871,-613.2,5007.150000000001,5008.910000000001,0.2133333333333334,2.0,2.6,3.4,-0.0299999999999999,11.0,-0.0233333333333332,0.0,0.0551724137931036,5.0,27.0,-12.251612903225809,0.0,7.963333333333334,-3.700743415417189e-18,25.1,-510.8,-13.212903225806452,0.0,36.400000000000006,0.0,27.8,0.0,-8.474193548387097,7.65,444.25,2325.7700000000004,1.0,33.0,-16.343333333333334
28.0,-262.7,0.0,-0.1066666666666667,30.0,0.0,6.035483870967742,-241.2,-13.212903225806452,0.0,-12.251612903225809,-510.8,7.963333333333334,8.003225806451614,3476.49,-178.0,5007.150000000001,-352.3,0.0,1.7600000000000002,-285.1,-5.741935483870968,0.0,5008.910000000001,6.209677419354839,6005.529999999999,-8.474193548387097,-379.8,-17.47142857142857,-409.6,6394.280000000002,6394.28,0.0551724137931036,0.0,0.0,6.7,-5.74253288599219e-18,7.0,-0.1259259259259259,0.0,-0.0299999999999999,1.0,21.0,-12.582142857142856,0.0,7.470967741935484,0.0655172413793103,53.1,-489.2,-16.47741935483871,2.0,37.9,18.0,25.2,1.0,-8.614285714285714,9.87741935483871,364.73,5071.829999999999,2.0,27.8,-9.13225806451613
31.0,-241.2,4.0,0.2133333333333334,31.0,1.7600000000000002,7.963333333333334,-161.3,-16.47741935483871,1.44,-12.582142857142856,-489.2,7.470967741935484,8.857142857142858,2110.8100000000004,-262.7,6394.280000000002,-314.49999999999994,0.16,0.0,-379.8,-8.474193548387097,0.0,6394.28,6.0,4892.31,-8.614285714285714,-352.3,-14.829032258064515,-510.8,6005.529999999999,6005.530000000001,-0.0299999999999999,0.0,2.0,4.8,0.0099999999999999,13.0,-0.0033333333333333,0.0,-5.74253288599219e-18,9.0,19.0,-10.13225806451613,0.4,8.003225806451614,-0.1066666666666667,25.0,-459.7,-17.47142857142857,0.0,38.7,16.0,27.4,0.0,-5.203225806451614,6.209677419354839,31.61,3476.49,31.0,25.2,-12.251612903225809
30.0,-161.3,11.0,0.0551724137931036,28.0,0.0,7.470967741935484,-60.3,-17.47142857142857,3331.14,-10.13225806451613,-459.7,8.003225806451614,9.625806451612902,3333.48,-241.2,6005.529999999999,-225.1,10.35,0.0,-352.3,-8.614285714285714,0.0,6005.530000000001,6.035483870967742,2755.45,-5.203225806451614,-314.49999999999994,-12.516666666666667,-489.2,4892.31,4892.47,-5.74253288599219e-18,0.4,0.0,4.6,-0.0233333333333332,8.0,-0.0379310344827586,0.0,0.0099999999999999,1.0,15.0,-7.3066666666666675,5.9,8.857142857142858,0.2133333333333334,65.7,-375.5,-14.829032258064515,0.0,36.9,24.0,26.4,1.0,-2.01,6.0,89.18,2110.8100000000004,30.0,27.4,-12.582142857142856
27.0,-60.3,27.0,-0.0299999999999999,31.0,0.0,8.003225806451614,100.8,-14.829032258064515,10853.39,-7.3066666666666675,-375.5,8.857142857142858,10.506666666666666,10853.39,-161.3,4892.31,-34.900000000000006,132.87,0.16,-314.49999999999994,-5.203225806451614,0.0,4892.47,7.963333333333334,151.15000000000003,-2.01,-225.1,-2.703225806451613,-459.7,2755.45,2765.8,0.0099999999999999,5.9,0.0,3.4,-0.1259259259259259,8.0,0.04,0.0,-0.0233333333333332,0.0,9.0,0.1032258064516129,38.1,9.625806451612902,0.0551724137931036,37.900000000000006,-83.8,-12.516666666666667,0.4,24.7,27.0,39.6,1.0,3.2516129032258063,6.035483870967742,86.79999999999998,3333.48,30.0,26.4,-10.13225806451613
0.0,100.8,30.0,-5.74253288599219e-18,30.0,0.16,8.857142857142858,653.9,-12.516666666666667,5007.150000000001,0.1032258064516129,-83.8,9.625806451612902,5.95483870967742,5008.910000000001,-60.3,2755.45,0.0,8142.090000000001,10.35,-225.1,-2.01,0.0,2765.8,7.470967741935484,0.0,3.2516129032258063,-34.900000000000006,10.43,-375.5,151.15000000000003,284.02000000000004,-0.0233333333333332,38.1,0.4,7.7,-0.0033333333333333,5.0,-0.0034482758620688,0.0,-0.1259259259259259,4.0,0.0,15.816666666666666,474.5,10.506666666666666,-0.0299999999999999,20.1,312.9,-2.703225806451613,5.9,24.5,21.0,35.5,0.0,21.796666666666667,7.963333333333334,97.23999999999998,10853.39,31.0,39.6,-7.3066666666666675
0.0,653.9,31.0,0.0099999999999999,27.0,10.35,9.625806451612902,648.4,-2.703225806451613,6394.280000000002,15.816666666666666,312.9,10.506666666666666,11.366666666666667,6394.28,100.8,151.15000000000003,0.0,7726.940000000001,132.87,-34.900000000000006,3.2516129032258063,0.0,284.02000000000004,8.003225806451614,0.0,21.796666666666667,0.0,10.170967741935485,-83.8,0.0,8142.090000000001,-0.1259259259259259,474.5,5.9,6.5,-0.0379310344827586,11.0,0.0299999999999998,0.0,-0.0033333333333333,11.0,0.0,15.483870967741936,480.0000000000001,5.95483870967742,-5.74253288599219e-18,22.0,315.3,10.43,38.1,22.8,19.0,36.400000000000006,0.0,20.916129032258063,7.470967741935484,27.34,5008.910000000001,28.0,35.5,0.1032258064516129
0.0,648.4,31.0,-0.0233333333333332,0.0,132.87,10.506666666666666,461.1,10.43,6005.529999999999,15.483870967741936,315.3,5.95483870967742,10.74516129032258,6005.530000000001,653.9,0.0,0.0,4255.36,8142.090000000001,0.0,21.796666666666667,0.0,8142.090000000001,8.857142857142858,0.0,20.916129032258063,0.0,8.212903225806452,312.9,0.0,7726.940000000001,-0.0033333333333333,480.0000000000001,38.1,7.9,0.04,8.0,0.0466666666666668,0.0,-0.0379310344827586,27.0,0.0,11.103225806451611,344.19999999999993,11.366666666666667,0.0099999999999999,35.4,254.6,10.170967741935485,474.5,24.1,15.0,37.9,0.0,14.874193548387098,8.003225806451614,139.22,6394.28,31.0,36.400000000000006,15.816666666666666
7.0,461.1,30.0,-0.1259259259259259,0.0,8142.090000000001,5.95483870967742,213.3,10.170967741935485,4892.31,11.103225806451611,254.6,11.366666666666667,6.661290322580645,4892.47,648.4,0.0,0.0,814.1900000000002,7726.940000000001,0.0,20.916129032258063,2.0,7726.940000000001,9.625806451612902,0.0,14.874193548387098,0.0,2.2066666666666666,315.3,0.0,4255.360000000001,-0.0379310344827586,344.19999999999993,474.5,13.9,-0.0034482758620688,6.0,-0.0999999999999999,0.0,0.04,30.0,0.0,4.263333333333334,127.89999999999998,10.74516129032258,-0.0233333333333332,34.6,66.2,8.212903225806452,480.0000000000001,18.3,9.0,38.7,0.0,7.11,8.857142857142858,93.57,6005.530000000001,30.0,37.9,15.483870967741936
26.0,213.3,17.0,-0.0033333333333333,0.0,7726.940000000001,11.366666666666667,-5.999999999999999,8.212903225806452,2755.45,4.263333333333334,66.2,10.74516129032258,4.903333333333333,2765.8,461.1,0.0,-99.4,49.78,4255.36,0.0,14.874193548387098,2.0,4255.360000000001,10.506666666666666,612.1,7.11,0.0,-5.47741935483871,254.6,0.0,814.1900000000002,0.04,127.89999999999998,480.0000000000001,10.9,0.0299999999999998,7.0,0.0933333333333333,0.0,-0.0034482758620688,31.0,18.0,-2.6129032258064515,18.4,6.661290322580645,-0.1259259259259259,18.2,-169.8,2.2066666666666666,344.19999999999993,23.3,0.0,36.9,0.0,-0.1935483870967741,9.625806451612902,103.12,4892.47,27.0,38.7,11.103225806451611
30.0,-5.999999999999999,5.0,-0.0379310344827586,7.0,4255.36,10.74516129032258,-171.9,2.2066666666666666,151.15000000000003,-2.6129032258064515,-169.8,6.661290322580645,5.283870967741936,284.02000000000004,213.3,0.0,-272.8,0.01,814.1900000000002,0.0,7.11,1.0,814.1900000000002,5.95483870967742,3720.7,-0.1935483870967741,-99.4,-12.736666666666668,66.2,612.1,661.88,-0.0034482758620688,18.4,344.19999999999993,17.0,0.0466666666666668,8.0,-0.0517241379310344,0.0,0.0299999999999998,31.0,20.0,-9.09,0.1,4.903333333333333,-0.0033333333333333,33.6,-382.1,-5.47741935483871,127.89999999999998,30.1,0.0,24.7,0.0,-5.73,10.506666666666666,495.71,2765.8,0.0,36.9,4.263333333333334
31.0,-171.9,0.0,0.04,26.0,814.1900000000002,6.661290322580645,-303.6,-5.47741935483871,0.0,-9.09,-382.1,4.903333333333333,7.006666666666666,8142.090000000001,-5.999999999999999,612.1,-398.9000000000001,0.0,49.78,-99.4,-0.1935483870967741,1.0,661.88,11.366666666666667,6774.35,-5.73,-272.8,-16.44516129032258,-169.8,3720.7,3720.710000000001,0.0299999999999998,0.1,127.89999999999998,14.6,-0.0999999999999999,8.0,0.0866666666666666,0.0,0.0466666666666668,30.0,20.0,-12.86774193548387,0.0,5.283870967741936,-0.0379310344827586,29.5,-509.8,-12.736666666666668,18.4,37.8,0.0,24.5,0.0,-9.793548387096775,5.95483870967742,339.79,284.02000000000004,0.0,24.7,-2.6129032258064515
31.0,-303.6,0.0,-0.0034482758620688,30.0,49.78,4.903333333333333,-349.1,-12.736666666666668,0.0,-12.86774193548387,-509.8,5.283870967741936,6.651612903225806,7726.940000000001,-171.9,3720.7,-484.0,0.0,0.01,-272.8,-5.73,0.0,3720.710000000001,10.74516129032258,8971.62,-9.793548387096775,-398.9000000000001,-20.73225806451613,-382.1,6774.35,6774.349999999999,0.0466666666666668,0.0,18.4,8.2,0.0933333333333333,8.0,-0.0233333333333333,0.0,-0.0999999999999999,17.0,27.0,-15.612903225806452,0.0,7.006666666666666,0.04,28.0,-642.7,-16.44516129032258,0.1,34.7,0.0,22.8,0.0,-11.261290322580646,11.366666666666667,367.82,8142.090000000001,0.0,24.5,-9.09
28.0,-349.1,0.0,0.0299999999999998,31.0,0.01,5.283870967741936,-457.2,-16.44516129032258,0.0,-15.612903225806452,-642.7,7.006666666666666,9.470967741935484,4255.360000000001,-303.6,6774.35,-624.5,0.0,0.0,-398.9000000000001,-9.793548387096775,0.0,6774.349999999999,6.661290322580645,15966.71,-11.261290322580646,-484.0,-28.36785714285714,-509.8,8971.62,8971.62,-0.0999999999999999,0.0,0.1,2.9,-0.0517241379310344,9.0,0.0222222222222222,0.0,0.0933333333333333,5.0,18.0,-22.303571428571427,0.0,6.651612903225806,-0.0034482758620688,51.9,-794.3,-20.73225806451613,0.0,41.1,18.0,24.1,2.0,-16.32857142857143,10.74516129032258,322.5399999999999,7726.940000000001,7.0,22.8,-12.86774193548387
31.0,-457.2,5.0,0.0466666666666668,31.0,0.0,7.006666666666666,-128.1,-20.73225806451613,0.0,-22.303571428571427,-794.3,6.651612903225806,12.039285714285716,814.1900000000002,-349.1,8971.62,-242.49999999999991,0.17,0.0,-484.0,-11.261290322580646,0.0,8971.62,4.903333333333333,2942.4100000000008,-16.32857142857143,-624.5,-11.851612903225806,-642.7,15966.71,15966.709999999995,0.0933333333333333,0.0,0.0,2.6,0.0866666666666666,11.0,-0.0066666666666666,0.0,-0.0517241379310344,0.0,17.0,-7.806451612903226,0.5,9.470967741935484,0.0299999999999998,47.3,-367.4,-28.36785714285714,0.0,35.8,20.0,18.3,2.0,-4.132258064516129,6.661290322580645,279.47,4255.360000000001,26.0,24.1,-15.612903225806452
22.0,-128.1,22.0,-0.0999999999999999,28.0,0.0,6.651612903225806,29.0,-28.36785714285714,612.1,-7.806451612903226,-367.4,9.470967741935484,7.719354838709678,661.88,-457.2,15966.71,-96.1,57.31999999999999,0.0,-624.5,-16.32857142857143,0.0,15966.709999999995,5.283870967741936,1011.35,-4.132258064516129,-242.49999999999991,-5.803333333333333,-794.3,2942.4100000000008,2942.58,-0.0517241379310344,0.5,0.0,4.2,-0.0233333333333333,13.0,0.0,0.0,0.0866666666666666,0.0,13.0,-2.43,23.200000000000003,12.039285714285716,0.0466666666666668,46.8,-174.1,-11.851612903225806,0.0,29.1,20.0,23.3,1.0,0.9666666666666668,4.903333333333333,26.84,814.1900000000002,30.0,18.3,-22.303571428571427
29.0,29.0,22.0,0.0933333333333333,31.0,0.0,9.470967741935484,49.2,-11.851612903225806,3720.7,-2.43,-174.1,12.039285714285716,6.77,3720.710000000001,-128.1,2942.4100000000008,-87.49999999999997,76.22999999999999,0.17,-242.49999999999991,-4.132258064516129,0.0,2942.58,7.006666666666666,456.35,0.9666666666666668,-96.1,-5.661290322580645,-367.4,1011.35,1068.6699999999998,0.0866666666666666,23.200000000000003,0.0,7.3,0.0222222222222222,16.0,-2.405483220021173e-17,0.0,-0.0233333333333333,0.0,13.0,-2.232258064516129,18.3,7.719354838709678,-0.0999999999999999,52.6,-175.5,-5.803333333333333,0.5,29.1,27.0,30.1,1.0,1.5870967741935484,5.283870967741936,37.56,661.88,31.0,23.3,-7.806451612903226
3.0,49.2,30.0,-0.0517241379310344,22.0,0.17,12.039285714285716,518.9,-5.803333333333333,6774.35,-2.232258064516129,-175.5,7.719354838709678,7.248387096774193,6774.349999999999,29.0,1011.35,0.0,4609.819999999999,57.31999999999999,-96.1,0.9666666666666668,0.0,1068.6699999999998,6.651612903225806,0.0,1.5870967741935484,-87.49999999999997,6.746666666666667,-174.1,456.35,532.5799999999999,-0.0233333333333333,18.3,0.5,2.7,-0.0066666666666666,4.0,0.1344827586206896,0.0,0.0222222222222222,5.0,0.0,11.32,339.6000000000001,6.77,0.0933333333333333,62.5,202.4,-5.661290322580645,23.200000000000003,26.4,18.0,37.8,0.0,17.296666666666667,7.006666666666666,54.37,3720.710000000001,31.0,30.1,-2.43
0.0,518.9,31.0,0.0866666666666666,29.0,57.31999999999999,7.719354838709678,488.5,-5.661290322580645,8971.62,11.32,202.4,6.77,10.55,8971.62,49.2,456.35,0.0,4220.12,76.22999999999999,-87.49999999999997,1.5870967741935484,0.0,532.5799999999999,9.470967741935484,0.0,17.296666666666667,0.0,7.664516129032258,-175.5,0.0,4609.82,0.0222222222222222,339.6000000000001,23.200000000000003,7.0,0.0,9.0,-3.700743415417189e-18,0.0,-0.0066666666666666,22.0,0.0,11.425806451612903,354.19999999999993,7.248387096774193,-0.0517241379310344,17.6,237.6,6.746666666666667,18.3,18.0,17.0,34.7,0.0,15.758064516129032,6.651612903225806,113.68,6774.349999999999,28.0,37.8,-2.232258064516129
1.0,488.5,31.0,-0.0233333333333333,3.0,76.22999999999999,6.77,487.8,6.746666666666667,15966.71,11.425806451612903,237.6,7.248387096774193,8.093548387096774,15966.709999999995,518.9,0.0,0.0,3668.080000000001,4609.819999999999,0.0,17.296666666666667,1.0,4609.82,12.039285714285716,0.0,15.758064516129032,0.0,6.261290322580645,202.4,0.0,4220.120000000001,-0.0066666666666666,354.19999999999993,18.3,15.3,-2.405483220021173e-17,11.0,-0.0099999999999999,0.0,0.0,22.0,0.0,10.451612903225806,324.0000000000001,10.55,0.0866666666666666,23.0,194.1,7.664516129032258,339.6000000000001,26.0,13.0,41.1,0.0,15.735483870967744,9.470967741935484,22.29,8971.62,31.0,34.7,11.32
3.0,487.8,30.0,0.0222222222222222,0.0,4609.819999999999,7.248387096774193,286.9,7.664516129032258,2942.4100000000008,10.451612903225806,194.1,10.55,9.474193548387095,2942.58,488.5,0.0,0.0,1139.98,4220.12,0.0,15.758064516129032,1.0,4220.120000000001,7.719354838709678,0.0,15.735483870967744,0.0,2.643333333333333,237.6,0.0,3668.080000000001,0.0,324.0000000000001,339.6000000000001,12.4,0.1344827586206896,10.0,-0.0344827586206897,0.0,-2.405483220021173e-17,30.0,0.0,5.753333333333333,172.6,8.093548387096774,-0.0233333333333333,29.7,79.3,6.261290322580645,354.19999999999993,22.200000000000003,13.0,35.8,0.0,9.563333333333333,12.039285714285716,166.95,15966.709999999995,22.0,41.1,11.425806451612903
